78.60, -58.61, -285.60, 101.05, -11.34, -278.42, 103.60, 22.93, -278.53, 98.01, 47.13, -273.98, 65.09,  7.50, -296.35, 55.24, 56.02, -292.37, 49.46, 75.92, -290.11, 40.79, 96.31, -286.18, 42.82,  7.17, -293.61, 23.97, 46.67, -290.81,  9.06, 73.96, -281.89,  1.89, 88.48, -280.82, 24.40, -3.26, -300.53, -2.23, 25.77, -282.67, -14.44, 39.64, -278.34, -30.49, 57.83, -274.88, 13.57, -19.55, -292.92, -7.86, -2.05, -287.14, -24.31, 10.75, -282.12, -34.79, 17.87, -277.47
79.46, -51.25, -275.75, 95.79, -6.26, -253.43, 90.87, 26.47, -244.16, 68.07, 36.12, -239.21, 65.69, 11.31, -299.51, 57.82, 60.11, -294.65, 52.92, 77.64, -284.47, 44.76, 88.44, -266.50, 43.47, 11.61, -296.34, 23.89, 50.85, -296.43, 11.01, 72.21, -275.82,  7.31, 73.78, -260.10, 24.94,  0.04, -300.65, -3.13, 30.95, -289.35, -14.03, 42.38, -278.83, -20.58, 47.46, -255.77, 14.26, -14.32, -289.68, -9.37,  1.12, -288.35, -25.04, 11.70, -278.26, -28.11, 13.15, -265.19
74.36, -51.35, -312.33, 25.65, -31.47, -316.95,  0.03, -9.08, -312.11, -12.52, 12.83, -311.56, 36.85,  0.75, -288.92,  9.80, 42.02, -283.28, -0.04, 60.28, -281.18, -8.10, 81.25, -280.01, 53.00, 16.19, -286.79, 38.63, 56.96, -279.36, 30.36, 88.22, -280.55, 25.26, 103.37, -277.80, 73.06, 19.53, -277.71, 72.33, 62.21, -284.71, 71.42, 81.16, -284.12, 70.15, 105.45, -281.19, 92.56, 17.50, -285.19, 95.77, 45.52, -283.41, 98.70, 66.74, -282.71, 101.36, 79.93, -283.83
80.17, -47.83, -285.41, 97.99,  0.27, -272.84, 94.15, 34.41, -272.15, 83.53, 57.00, -268.31, 70.08, 18.85, -296.32, 61.85, 67.60, -291.53, 56.68, 87.67, -289.18, 48.43, 108.28, -285.54, 47.64, 19.12, -296.77, 29.59, 59.07, -295.31, 14.25, 86.43, -287.40,  7.34, 101.10, -286.73, 30.13,  9.39, -306.48,  2.00, 38.82, -291.86, -10.34, 52.95, -288.96, -26.26, 71.48, -287.16, 17.89, -6.72, -300.90, -4.15, 10.70, -297.89, -21.17, 23.37, -294.85, -32.21, 30.31, -291.36
75.01, -46.24, -315.02, 26.60, -25.84, -320.40,  1.22, -3.05, -316.21, -11.07, 19.01, -316.20, 38.05,  6.82, -292.97, 11.54, 48.57, -288.37,  1.94, 67.01, -286.73, -5.84, 88.11, -286.04, 54.39, 22.09, -291.03, 40.55, 63.20, -284.56, 32.76, 94.55, -286.48, 27.85, 109.83, -284.09, 74.42, 25.34, -281.87, 74.33, 67.87, -289.74, 73.68, 86.84, -289.54, 72.71, 111.20, -287.13, 93.95, 22.90, -289.14, 97.51, 50.90, -287.93, 100.71, 72.10, -287.66, 103.55, 85.22, -289.04
71.53, -40.73, -271.45, 85.32, 10.24, -272.60, 73.02, 40.03, -284.54, 54.40, 56.26, -289.73, 70.16, 19.28, -304.09, 69.47, 68.11, -313.14, 67.32, 88.58, -316.48, 62.11, 110.33, -318.92, 47.99, 21.41, -306.87, 35.40, 61.55, -319.28, 23.29, 91.50, -321.09, 18.24, 106.36, -325.18, 30.13, 10.64, -314.69,  4.68, 45.57, -312.84, -6.15, 60.93, -315.56, -20.01, 80.43, -320.80, 15.73, -1.56, -305.51, -5.63, 16.27, -310.48, -22.23, 29.54, -313.23, -33.21, 37.38, -312.66
79.74, -39.71, -276.05, 94.62,  6.50, -255.26, 76.60, 35.31, -250.10, 52.49, 41.85, -246.40, 67.60, 18.68, -309.38, 65.74, 67.65, -317.47, 63.27, 88.34, -318.21, 58.22, 110.24, -317.14, 45.57, 20.57, -305.53, 39.21, 59.97, -287.33, 45.97, 48.10, -258.00, 49.81, 34.39, -250.24, 26.55,  9.31, -307.73,  7.73, 48.15, -310.69, -0.80, 64.96, -312.96, -12.11, 86.40, -316.48, 15.45, -2.74, -295.78, -7.53, 12.90, -300.85, -24.41, 25.88, -298.34, -34.42, 33.61, -293.62
81.27, -42.00, -283.61, 92.11, -0.07, -253.38, 72.18, 26.38, -244.20, 47.55, 31.02, -241.13, 68.00, 21.15, -306.07, 60.00, 70.16, -306.64, 54.81, 90.23, -304.38, 46.79, 110.87, -300.35, 45.70, 21.30, -303.58, 35.93, 56.11, -278.76, 41.45, 39.11, -251.79, 45.56, 24.33, -246.51, 27.53,  9.86, -309.28,  6.75, 47.67, -306.21, -2.55, 64.21, -305.87, -14.82, 85.42, -306.10, 16.39, -4.75, -300.69, -5.51, 12.62, -304.87, -22.11, 25.76, -301.55, -32.26, 33.03, -296.42
84.48, -41.53, -287.04, 97.52,  2.32, -260.63, 91.41, 33.99, -248.78, 68.88, 43.81, -242.97, 67.89, 22.13, -305.47, 55.96, 69.36, -295.77, 49.35, 85.43, -284.23, 39.77, 93.92, -265.73, 45.60, 20.90, -303.17, 23.65, 58.72, -299.72,  8.95, 76.97, -277.42,  4.73, 76.66, -261.75, 27.93,  8.78, -309.25, -1.62, 37.10, -295.25, -13.30, 47.04, -284.07, -20.81, 49.71, -260.90, 17.75, -7.11, -300.07, -6.32,  7.48, -297.56, -22.47, 16.50, -286.72, -25.84, 16.45, -273.65
83.94, -40.40, -279.50, 94.52,  4.95, -254.57, 74.31, 32.03, -248.33, 49.65, 36.68, -245.51, 69.50, 19.47, -309.08, 62.28, 68.29, -314.69, 57.43, 88.57, -314.47, 49.80, 109.64, -312.54, 47.23, 19.62, -306.34, 37.24, 56.99, -285.68, 43.31, 43.37, -256.97, 47.70, 29.38, -250.03, 29.17,  7.34, -310.41,  7.88, 44.98, -311.56, -1.66, 61.32, -313.06, -14.24, 82.19, -315.62, 18.33, -6.29, -300.01, -4.47,  9.41, -305.64, -21.66, 22.03, -303.47, -32.08, 29.34, -298.96
