35.71, -71.86, -295.22, 50.52, -21.38, -290.54, 48.75, 12.86, -288.20, 42.22, 35.74, -279.77,  5.56, -10.63, -292.11, -13.03, 33.52, -278.98, -22.04, 51.16, -272.47, -33.24, 68.45, -263.42, -13.86, -16.61, -282.58, -38.66, 16.91, -268.98, -55.28, 39.34, -252.62, -64.63, 51.62, -247.62, -30.85, -30.85, -284.72, -55.47, -10.35, -255.65, -68.17, -0.20, -245.87, -85.68, 13.28, -235.28, -34.74, -49.71, -276.39, -56.11, -38.15, -261.95, -72.25, -29.89, -250.53, -81.89, -25.68, -242.07
43.79, -57.70, -311.24, -7.85, -66.29, -318.19, -41.51, -62.17, -312.63, -63.86, -50.74, -309.90, -16.37, -39.81, -284.25, -61.72, -21.66, -275.28, -80.01, -12.40, -271.45, -98.29,  0.22, -267.88, -11.39, -18.90, -277.77, -45.84,  5.35, -265.60, -69.89, 26.81, -262.73, -82.50, 35.96, -258.20,  3.47, -7.21, -266.00, -20.53, 28.78, -266.02, -31.71, 43.70, -262.48, -46.15, 62.36, -255.85, 20.94,  3.09, -271.37,  8.24, 27.45, -264.72, -0.94, 46.30, -260.28, -5.93, 58.77, -258.95
44.92, -61.57, -312.24, -6.12, -73.34, -319.02, -40.10, -72.04, -314.10, -63.42, -62.58, -311.98, -15.73, -45.05, -285.48, -61.57, -28.12, -276.59, -80.12, -19.36, -272.84, -98.76, -7.23, -269.41, -11.43, -23.85, -279.51, -46.63, -0.49, -267.72, -71.38, 20.19, -265.16, -84.27, 29.00, -260.76,  3.05, -11.40, -268.06, -22.10, 23.78, -268.83, -33.75, 38.42, -265.58, -48.77, 56.72, -259.29, 20.16, -0.65, -273.72,  6.60, 23.37, -267.58, -3.26, 41.96, -263.50, -8.71, 54.26, -262.37
30.27, -69.07, -319.64, -11.92, -41.28, -335.03, -11.56, -7.69, -327.79,  5.15, 10.78, -323.62, -14.59, -42.23, -275.66, -57.85, -18.48, -270.03, -75.08, -6.92, -272.09, -91.71,  7.49, -276.79, -8.30, -20.70, -276.71, -39.39,  8.17, -265.62, -62.46, 30.34, -270.44, -74.04, 41.61, -271.87,  9.52, -7.45, -275.00, -16.91, 26.73, -273.03, -28.20, 41.88, -271.17, -42.61, 61.60, -269.21, 22.81,  0.39, -289.40,  7.44, 14.60, -308.39, 10.66,  1.06, -324.68, 18.86, -9.66, -324.90
24.31, -76.05, -306.06, 42.14, -69.08, -256.84, 30.91, -59.07, -225.94,  6.36, -60.61, -220.25, 15.31, -17.89, -271.36,  9.31, -23.88, -222.42, 12.49, -43.73, -216.89, 15.29, -59.14, -233.04, -5.84, -20.98, -264.50, -19.81,  7.35, -234.07, -29.78, 22.30, -207.16, -35.13, 32.58, -195.81, -26.21, -25.96, -271.99, -51.02, -10.17, -240.27, -62.62, -1.04, -228.34, -78.07, 11.93, -214.44, -36.75, -44.04, -273.59, -61.10, -37.25, -260.97, -79.61, -33.00, -251.02, -90.88, -32.55, -243.61
48.09, -71.66, -278.01, 44.78, -19.91, -288.05, 27.52,  9.78, -289.22, 12.75, 28.82, -281.66,  3.17, -20.60, -284.65, -22.46, 21.71, -280.27, -33.91, 38.81, -276.89, -46.76, 56.12, -270.45, -11.41, -26.47, -268.63, -41.02,  4.30, -258.62, -59.06, 27.44, -244.99, -70.05, 38.71, -241.05, -23.75, -43.58, -261.49, -46.70, -19.35, -233.97, -59.49, -9.09, -224.40, -77.37,  3.59, -213.46, -20.38, -58.57, -247.20, -40.86, -47.99, -230.86, -55.92, -40.20, -217.74, -64.17, -35.65, -208.07
30.17, -78.44, -301.52, -10.77, -49.94, -318.86, -8.59, -15.74, -316.24,  9.89,  1.42, -314.95, -10.56, -43.02, -259.64, -51.81, -16.11, -253.27, -68.47, -3.62, -254.58, -84.63, 11.45, -258.80, -2.79, -22.34, -263.62, -30.94,  9.92, -254.10, -52.61, 33.47, -258.84, -63.39, 45.51, -260.26, 16.00, -10.40, -264.24, -6.89, 26.27, -265.94, -16.50, 42.63, -265.43, -28.71, 63.87, -265.05, 29.15, -5.43, -279.97, 13.63,  7.94, -299.44, 14.65, -7.12, -314.65, 22.07, -18.39, -314.22
48.59, -71.50, -285.57, 42.56, -19.10, -282.85, 21.53,  6.66, -274.17,  4.79, 19.16, -259.99,  3.76, -20.08, -281.69, -19.94, 21.73, -269.18, -30.54, 38.40, -262.50, -42.41, 54.82, -252.70, -10.18, -28.55, -266.27, -38.82,  0.45, -250.09, -55.88, 21.23, -232.09, -66.51, 31.81, -225.90, -22.32, -46.62, -261.59, -44.06, -27.40, -229.50, -56.41, -18.92, -217.85, -73.79, -8.30, -204.24, -18.47, -63.79, -250.17, -38.41, -57.06, -231.31, -53.02, -52.32, -216.36, -60.77, -49.93, -205.56
47.67, -70.05, -287.96, 39.76, -19.13, -276.38, 15.96,  1.23, -262.24, -2.11,  6.69, -245.47,  3.36, -18.90, -278.58, -18.49, 22.31, -261.51, -28.33, 38.61, -253.00, -39.42, 54.38, -241.40, -10.67, -28.83, -264.13, -38.65, -1.07, -244.91, -55.20, 18.08, -224.75, -65.58, 28.18, -217.43, -22.99, -47.17, -261.40, -44.63, -31.32, -227.45, -56.93, -24.04, -214.97, -74.23, -14.80, -200.29, -19.33, -65.49, -251.90, -39.39, -61.48, -232.41, -54.06, -58.88, -217.00, -61.72, -58.01, -205.91
28.60, -76.36, -300.53, -21.89, -70.19, -286.32, -45.56, -47.92, -275.14, -59.44, -26.89, -273.52, -15.74, -37.79, -265.68, -55.30, -11.20, -251.72, -71.25,  1.32, -246.85, -87.42, 16.67, -243.80, -8.84, -17.47, -272.24, -36.30, 15.11, -261.83, -57.80, 39.28, -261.42, -67.85, 51.48, -257.76,  9.35, -4.71, -273.71, -12.94, 31.39, -282.11, -21.86, 48.15, -282.30, -32.58, 70.12, -280.72, 23.05, -1.18, -289.18, 15.03, 25.84, -291.24,  9.08, 46.28, -293.72,  5.43, 58.78, -297.27
